property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
246658,"3 Bed, 3 Bath Condo for Sale & Rent in De Castle Royal Condominium",Condo,4/11/2024,17/11/2024,3.0,3.0,,166.0,15.0,2014,N/E,370000.0,"BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool"
246652,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Twin Villa,4/11/2024,27/11/2024,4.0,5.0,176.0,216.0,,2014,N,265000.0,"Cheung Aek, Dangkao, Phnom Penh",Cheung Aek,Dangkao,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
246651,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Twin Villa,4/11/2024,26/11/2024,4.0,5.0,187.0,216.0,,2014,N,300000.0,"Cheung Aek, Dangkao, Phnom Penh",Cheung Aek,Dangkao,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
246650,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Twin Villa,4/11/2024,26/11/2024,4.0,5.0,187.0,216.0,,2014,N,310000.0,"Cheung Aek, Dangkao, Phnom Penh",Cheung Aek,Dangkao,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
246641,House for Sale in Siem Reap,House,3/11/2024,4/11/2024,,,,,,2014,,1524600.0,"Siem Reap, Siem Reap, Siem Reap",Siem Reap,Siem Reap,Siem Reap,"Car Parking, Commercial area, Common Area, Garden, Non-Flooding, Swimming Pool"
246625,"1 Bed, 1 Bath Condo for Sale & Rent in Time Square 3",Condo,31/10/2024,31/10/2024,1.0,1.0,,36.0,28.0,2023,,75000.0,"Boeung Kak 2, Toul Kork, Phnom Penh",Boeung Kak 2,Toul Kork,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool"
246624,Condo for Sale in Prince Huan Yu Center,Condo,31/10/2024,31/10/2024,,,,40.0,7.0,2023,,104000.0,"Tonle Bassac, Chamkarmon, Phnom Penh",Tonle Bassac,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool"
246623,Land for Sale in Ou Baek K'am,Land/Development,31/10/2024,4/11/2024,,,1698.0,,,2023,,2037600.0,"Ou Baek K'am, Sen Sok, Phnom Penh",Ou Baek K'am,Sen Sok,Phnom Penh,
246620,"2 Bed, 1 Bath Condo for Sale in Boeung Tumpun",Condo,31/10/2024,31/10/2024,2.0,1.0,,53.0,11.0,2023,,62000.0,"Boeung Tumpun, Meanchey, Phnom Penh",Boeung Tumpun,Meanchey,Phnom Penh,"Car Parking, Common Area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool"
246615,"2 Bed, 3 Bath Flat House for Sale in Krang Thnong",Retreat,31/10/2024,31/10/2024,2.0,3.0,85.0,,,2023,,75000.0,"Krang Thnong, Sen Sok, Phnom Penh",Krang Thnong,Sen Sok,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
246593,"3 Bed, 2 Bath Condo for Sale in Agile Sky Residence",Condo,30/10/2024,31/10/2024,3.0,2.0,,111.0,11.0,2022,E/S,190000.0,"Preah Monivong BLVD (93) 456, BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool, Backup Electricity / Generator"
246591,"5 Bed, 6 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Romance",Villa,30/10/2024,30/10/2024,5.0,6.0,860.0,596.0,,2022,W,1920000.0,"Veal Sbov, Chbar Ampov, Phnom Penh",Veal Sbov,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
246580,Land for Sale in Phnom Penh Thmey,Land/Development,29/10/2024,30/10/2024,,,1150.0,,,2022,,3680000.0,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Phnom Penh Thmey,Sen Sok,Phnom Penh,
246574,"10 Bed, 12 Bath Villa for Sale in Snaor",Villa,28/10/2024,31/10/2024,10.0,12.0,2520.0,,,2022,,5000000.0,"Snaor, Por Sen Chey, Phnom Penh",Snaor,Por Sen Chey,Phnom Penh,"Car Parking, Commercial area, Garden, Non-Flooding, Swimming Pool"
246560,"1 Bed, 1 Bath Condo for Sale in Boeung Kak 1",Condo,28/10/2024,5/12/2024,1.0,1.0,,35.0,24.0,2022,,74000.0,"Boeung Kak 1, Toul Kork, Phnom Penh",Boeung Kak 1,Toul Kork,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Swimming Pool, Backup Electricity / Generator"
