location_id,address,commune,district,city
location_77,"Kouk Khleang, Sen Sok, Phnom Penh",Kouk Khleang,Sen Sok,Phnom Penh
location_78,"Toul Tum Poung 2, Chamkarmon, Phnom Penh",Toul Tum Poung 2,Chamkarmon,Phnom Penh
location_79,"60m Samdach Hun Sen, Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh
location_80,"Street 1984 Street, Phnom Penh Thmey, Sen Sok, Phnom Penh",Phnom Penh Thmey,Sen Sok,Phnom Penh
location_81,"Phsar Kandal I, Daun Penh, Phnom Penh",Phsar Kandal I,Daun Penh,Phnom Penh
location_82,"Boeung Trabek, Chamkarmon, Phnom Penh",Boeung Trabek,Chamkarmon,Phnom Penh
location_83,"Kakab 2, Por Sen Chey, Phnom Penh",Kakab 2,Por Sen Chey,Phnom Penh
location_84,"Chreav, Siem Reap, Siem Reap",Chreav,Siem Reap,Siem Reap
location_85,"National High Way, Veal Sbov, Chbar Ampov, Phnom Penh",Veal Sbov,Chbar Ampov,Phnom Penh
location_86,"Ponhea Pon, Prek Pnov, Phnom Penh",Ponhea Pon,Prek Pnov,Phnom Penh
location_87,"Olympic, Chamkarmon, Phnom Penh",Olympic,Chamkarmon,Phnom Penh
location_88,"Chaom Chau 1, Por Sen Chey, Phnom Penh",Chaom Chau 1,Por Sen Chey,Phnom Penh
location_89,"Kamboul, Por Sen Chey, Phnom Penh",Kamboul,Por Sen Chey,Phnom Penh
location_90,"Phsar Daeum Thkov, Chamkarmon, Phnom Penh",Phsar Daeum Thkov,Chamkarmon,Phnom Penh
location_91,"Ta Meun, Thma Koul, Battambang",Ta Meun,Thma Koul,Battambang
location_92,"Wat Phnom, Daun Penh, Phnom Penh",Wat Phnom,Daun Penh,Phnom Penh
location_93,"Sangkat Buon, Sihanoukville, Sihanoukville",Sangkat Buon,Sihanoukville,Sihanoukville
location_94,"Garden Residences ARATA, Khmuonh, Sen Sok, Phnom Penh",Khmuonh,Sen Sok,Phnom Penh
location_95,"BKK 2, Chamkarmon, Phnom Penh",BKK 2,Chamkarmon,Phnom Penh
location_96,"213, Veal Vong, 7 Makara, Phnom Penh",Veal Vong,7 Makara,Phnom Penh
location_97,"Ou Krasar, Kep, Kep",Ou Krasar,Kep,Kep
location_98,"Boeung Prolit, 7 Makara, Phnom Penh",Boeung Prolit,7 Makara,Phnom Penh
location_99,"Boeung Tumpun 2, Meanchey, Phnom Penh",Boeung Tumpun 2,Meanchey,Phnom Penh
location_100,"Andoung Khmer, Kampot, Kampot",Andoung Khmer,Kampot,Kampot
location_101,"Sala Kamraeuk, Siem Reap, Siem Reap",Sala Kamraeuk,Siem Reap,Siem Reap
location_102,"Federation Blvd 112 Russian, Ou Baek K'am, Sen Sok, Phnom Penh",Ou Baek K'am,Sen Sok,Phnom Penh
location_103,"Kouk Chak, Siem Reap, Siem Reap",Kouk Chak,Siem Reap,Siem Reap
location_104,"Stueng Mean chey, Meanchey, Phnom Penh",Stueng Mean chey,Meanchey,Phnom Penh
location_105,"Ta Khmao, Ta Khmau, Kandal",Ta Khmao,Ta Khmau,Kandal
location_106,"Samraong Kraom, Por Sen Chey, Phnom Penh",Samraong Kraom,Por Sen Chey,Phnom Penh
location_107,"Preaek Pra, Chbar Ampov, Phnom Penh",Preaek Pra,Chbar Ampov,Phnom Penh
location_108,"Dangkao, Dangkao, Phnom Penh",Dangkao,Dangkao,Phnom Penh
location_109,"Rithy St 1928 1928 Mong, Tuol Sangkae 1, Russey Keo, Phnom Penh",Tuol Sangkae 1,Russey Keo,Phnom Penh
location_110,"Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh",Kilomaetr Lekh Prammuoy,Russey Keo,Phnom Penh
location_111,"Chum Kriel, Tuek Chhou, Kampot",Chum Kriel,Tuek Chhou,Kampot
location_112,"Preaek Ampil, Khsach Kandal, Kandal",Preaek Ampil,Khsach Kandal,Kandal
location_113,"Cheung Kaeub, Kandal Stueng, Kandal",Cheung Kaeub,Kandal Stueng,Kandal
location_114,"Preaek Thmei, Chbar Ampov, Phnom Penh",Preaek Thmei,Chbar Ampov,Phnom Penh
location_115,"Chenda Keo, Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh
location_116,"Kbal Kaoh, Chbar Ampov, Phnom Penh",Kbal Kaoh,Chbar Ampov,Phnom Penh
location_117,"Chaom Chau 2, Por Sen Chey, Phnom Penh",Chaom Chau 2,Por Sen Chey,Phnom Penh
location_118,"Boeng Reang, Daun Penh, Phnom Penh",Boeng Reang,Daun Penh,Phnom Penh
location_119,"Trapeang Krasang, Por Sen Chey, Phnom Penh",Trapeang Krasang,Por Sen Chey,Phnom Penh
location_120,"Ponsang, Prek Pnov, Phnom Penh",Ponsang,Prek Pnov,Phnom Penh
location_121,"Street 1962, Krang Thnong, Sen Sok, Phnom Penh",Krang Thnong,Sen Sok,Phnom Penh
location_122,"Vihear Suork, Khsach Kandal, Kandal",Vihear Suork,Khsach Kandal,Kandal
location_123,"105K       , Krang Thnong, Sen Sok, Phnom Penh",Krang Thnong,Sen Sok,Phnom Penh
location_124,"Stueng Mean chey 3, Meanchey, Phnom Penh",Stueng Mean chey 3,Meanchey,Phnom Penh
location_125,"Tuek L'ak 2, Toul Kork, Phnom Penh",Tuek L'ak 2,Toul Kork,Phnom Penh
location_126,"Stueng Mean chey 2, Meanchey, Phnom Penh",Stueng Mean chey 2,Meanchey,Phnom Penh
location_127,"Sangkat Muoy, Sihanoukville, Sihanoukville",Sangkat Muoy,Sihanoukville,Sihanoukville
location_128,"Traeuy Kaoh, Kampot, Kampot",Traeuy Kaoh,Kampot,Kampot
location_129,"Chrang Chamres 2, Russey Keo, Phnom Penh",Chrang Chamres 2,Russey Keo,Phnom Penh
location_130,"Kampong Kraeng, Tuek Chhou, Kampot",Kampong Kraeng,Tuek Chhou,Kampot
location_131,"Setbou, S'ang, Kandal",Setbou,S'ang,Kandal
location_132,"Chey Chumneah, Daun Penh, Phnom Penh",Chey Chumneah,Daun Penh,Phnom Penh
location_133,"Mittapheap, 7 Makara, Phnom Penh",Mittapheap,7 Makara,Phnom Penh
location_134,"Sambuor Meas, Mukh Kampul, Kandal",Sambuor Meas,Mukh Kampul,Kandal
location_135,"Haong Samnam, Aoral, Kampong Speu",Haong Samnam,Aoral,Kampong Speu
location_136,"Prey Thnang, Tuek Chhou, Kampot",Prey Thnang,Tuek Chhou,Kampot
location_137,"Prey Nheat, Kong Pisei, Kampong Speu",Prey Nheat,Kong Pisei,Kampong Speu
location_138,"Chbar Ampov I, Chbar Ampov, Phnom Penh",Chbar Ampov I,Chbar Ampov,Phnom Penh
