property_id,price,listed_date,updated_date,land_area,floor_area,bedrooms,bathrooms,location_id
property_933,860000.0,date_269,date_156,425.0,,7.0,9.0,location_18
property_934,365000.0,date_270,date_156,73.0,,5.0,5.0,location_68
property_935,750000.0,date_271,date_156,484.0,,9.0,13.0,location_28
property_936,125000.0,date_272,date_267,,42.0,1.0,1.0,location_1
property_937,330000.0,date_272,date_156,165.0,,4.0,5.0,location_28
property_938,225000.0,date_273,date_160,,,3.0,4.0,location_32
property_939,85000.0,date_274,date_305,,72.0,2.0,2.0,location_8
property_940,880000.0,date_275,date_221,408.0,,10.0,11.0,location_38
property_941,280000.0,date_276,date_98,,,4.0,5.0,location_64
property_942,180000.0,date_277,date_158,260.0,,4.0,4.0,location_134
property_943,652200.0,date_277,date_36,1087.0,,,,location_86
property_944,53000.0,date_277,date_111,,35.0,1.0,1.0,location_37
property_945,800000.0,date_277,date_158,324.0,,5.0,6.0,location_38
property_946,1100000.0,date_278,date_160,450.0,,5.0,6.0,location_38
property_947,45000.0,date_279,date_113,,29.0,1.0,1.0,location_31
property_948,980000.0,date_280,date_160,518.0,,5.0,6.0,location_6
property_949,1500000.0,date_281,date_160,442.0,,5.0,5.0,location_31
property_950,47000.0,date_281,date_160,,,1.0,1.0,location_76
property_951,880000.0,date_281,date_160,1060.0,,6.0,9.0,location_114
property_952,92000.0,date_282,date_161,84.0,,3.0,3.0,location_25
property_953,868450.0,date_282,date_239,34738.0,,,,location_135
property_954,550000.0,date_283,date_161,69.0,,2.0,3.0,location_1
property_955,70000.0,date_283,date_241,,39.0,1.0,1.0,location_16
property_956,185000.0,date_283,date_269,,65.0,2.0,2.0,location_10
property_957,120000.0,date_284,date_277,,100.0,2.0,2.0,location_41
property_958,5964030.0,date_284,date_161,5970.0,,,,location_73
property_959,190000.0,date_284,date_242,,40.0,1.0,1.0,location_10
property_960,804515.0,date_284,date_161,160903.0,,,,location_136
property_961,160000.0,date_284,date_242,435.0,,,,location_137
property_962,2656500.0,date_285,date_11,483.0,,10.0,8.0,location_39
property_963,170000.0,date_286,date_162,100.0,,4.0,5.0,location_3
property_964,530000.0,date_286,date_162,249.0,,8.0,9.0,location_12
property_965,1800000.0,date_287,date_162,600.0,,,,location_23
property_966,400000.0,date_288,date_162,414.0,,,,location_138
property_967,750000.0,date_288,date_162,430.0,,,,location_138
property_968,160000.0,date_288,date_248,,,4.0,5.0,location_6
property_969,140000.0,date_288,date_162,,,4.0,5.0,location_6
property_970,122000.0,date_288,date_162,,,4.0,5.0,location_6
property_971,150000.0,date_288,date_248,,,4.0,5.0,location_6
property_972,8990100.0,date_289,date_236,25686.0,,,,location_93
property_973,155000.0,date_289,date_162,,,3.0,3.0,location_64
