property_id,property_name,property_types,floor_level,completion_year,facing
property_130,"5 Bed, 6 Bath Shophouse for Sale in Prey Sa",Shophouse,,2018,
property_131,"4 Bed, 4 Bath House for Sale in Toul Svay Prey 1",House,,2018,N
property_132,"4 Bed, 5 Bath Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Villa,3.0,2018,S
property_133,"2 Bed, 2 Bath Condo for Sale in J Tower 2 Condominium",Condo,11.0,2022,
property_134,"6 Bed, 6 Bath Villa for Sale in Preaek Aeng",Villa,3.0,2022,N
property_135,"3 Bed, 4 Bath Villa for Sale in Preaek Aeng",Villa,3.0,2022,E
property_136,"1 Bed, 1 Bath Apartment for Sale in Chroy Changvar",Apartment,16.0,2022,
property_137,"7 Bed, 9 Bath Villa for Sale & Rent in Borey Peng Huoth: The Star Platinum Eco Delta",Villa,3.0,2022,S
property_138,Land for Sale in Ta Ney,Land/Development,,2022,
property_139,Land for Sale in Preaek Ta kov,Land/Development,,2022,
property_140,"2 Bed, 2 Bath Condo for Sale in Habitat Condominium",Condo,7.0,2017,
property_141,"4 Bed, 5 Bath Twin Villa for Sale & Rent in Nirouth",Twin Villa,3.0,2017,W
property_142,Land for Sale & Rent in Boeung Kak 1,Land/Development,,2017,
property_143,"4 Bed, 4 Bath Villa for Sale in The ML Villa",Villa,,2021,N
property_144,Land for Sale in Chroy Svay,Land/Development,,2021,
property_145,Land for Sale in Chroy Svay,Land/Development,,2021,
property_146,"3 Bed, 4 Bath Condo for Sale in De Castle Royal Condominium",Condo,9.0,2014,
property_147,"4 Bed, 6 Bath Twin Villa for Sale in Phnom Penh Thmey",Twin Villa,,2014,N
property_148,"2 Bed, 2 Bath Condo for Sale in The View Serviced Residence",Condo,18.0,2019,
property_149,"3 Bed, 3 Bath Condo for Sale in Chroy Changvar",Condo,6.0,2019,
property_150,1 Bath Condo for Sale in D'seaview 海景苑公寓,Condo,3.0,2020,N
property_151,"4 Bed, 5 Bath Link House for Sale in Preaek Anhchanh",Unit,,2020,S
property_152,"1 Bed, 2 Bath House for Sale in Phsar Chas",House,1.0,2020,
property_153,Land for Sale in Phnom Penh Thmey,Land/Development,,2020,
property_154,"2 Bed, 2 Bath Condo for Sale in The View Serviced Residence",Condo,28.0,2019,
property_155,"1 Bed, 1 Bath Condo for Sale in The View Serviced Residence",Condo,17.0,2019,
property_156,"1 Bed, 1 Bath Studio for Sale in The View Serviced Residence",Studio,23.0,2019,
property_157,"1 Bed, 1 Bath Studio for Sale in Morgan EnMaison | Condo Type",Studio,5.0,2024,
property_158,"6 Bed, 7 Bath Villa for Sale in Tuek Thla",Villa,,2024,
property_159,Land for Sale in Snaor,Land/Development,,2024,
property_160,Land for Sale in Snaor,Land/Development,,2024,
property_161,Land for Sale in Snaor,Land/Development,,2024,
property_162,"4 Bed, 5 Bath Villa for Sale in Snaor",Villa,,2024,
property_163,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Twin Villa,,2024,S
property_164,"3 Bed, 4 Bath Link House for Sale in Russey Keo",Unit,,2024,E
property_165,"4 Bed, 5 Bath Link House for Sale in Preaek Anhchanh",Unit,,2024,N
property_166,"4 Bed, 5 Bath Link House for Sale in Preaek Anhchanh",Unit,,2024,N
property_167,"1 Bed, 1 Bath Condo for Sale in Snowbell Hotel@The Bridge SOHO",Condo,13.0,2019,
property_168,Shophouse for Sale in Phsar Chas,Shophouse,,2019,S
property_169,"2 Bed, 2 Bath House for Sale in Toul Svay Prey 2",House,,2019,S
property_170,"3 Bed, 3 Bath Condo for Sale & Rent in De Castle Royal Condominium",Condo,15.0,2014,N/E
property_171,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Twin Villa,,2014,N
property_172,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Twin Villa,,2014,N
property_173,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Twin Villa,,2014,N
property_174,House for Sale in Siem Reap,House,,2014,
property_175,"1 Bed, 1 Bath Condo for Sale & Rent in Time Square 3",Condo,28.0,2023,
property_176,Condo for Sale in Prince Huan Yu Center,Condo,7.0,2023,
property_177,Land for Sale in Ou Baek K'am,Land/Development,,2023,
property_178,"2 Bed, 1 Bath Condo for Sale in Boeung Tumpun",Condo,11.0,2023,
property_179,"2 Bed, 3 Bath Flat House for Sale in Krang Thnong",Retreat,,2023,
property_180,"3 Bed, 2 Bath Condo for Sale in Agile Sky Residence",Condo,11.0,2022,E/S
property_181,"5 Bed, 6 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Romance",Villa,,2022,W
property_182,Land for Sale in Phnom Penh Thmey,Land/Development,,2022,
property_183,"10 Bed, 12 Bath Villa for Sale in Snaor",Villa,,2022,
property_184,"1 Bed, 1 Bath Condo for Sale in Boeung Kak 1",Condo,24.0,2022,
property_185,Land for Sale in Boeung Kak 2,Land/Development,,2022,
property_186,Land for Sale in Roka Po Pram,Land/Development,,2022,
property_187,"4 Bed, 4 Bath Villa for Sale & Rent in Phnom Penh Thmey",Villa,2.0,2022,
property_188,Land for Sale & Rent in Phnom Penh Thmey,Land/Development,,2022,
property_189,"6 Bed, 6 Bath House for Sale in Stueng Mean chey 1",House,,2022,N
property_190,"3 Bed, 2 Bath Condo for Sale & Rent in Boeung Tumpun 1",Condo,7.0,2022,
property_191,"2 Bed, 2 Bath Condo for Sale & Rent in The Skyline",Condo,34.0,2022,
property_192,1 Bath Studio for Sale in Snowbell Hotel@The Bridge SOHO,Studio,30.0,2019,
property_193,"1 Bed, 1 Bath Condo for Sale in The Penthouse Residence",Condo,27.0,2020,
property_194,Land for Sale in Samrong,Land/Development,,2020,
property_195,"3 Bed, 4 Bath Link House for Sale & Rent in Spean Thma",Unit,,2020,S
property_196,"2 Bed, 1 Bath Condo for Sale in Time Square 3",Condo,6.0,2023,
property_197,"3 Bed, 2 Bath House for Sale in Tumnob Tuek",House,,2023,E
property_198,"1 Bed, 1 Bath Condo for Sale in Chroy Changvar",Condo,19.0,2023,
property_199,"7 Bed, 9 Bath Villa for Sale & Rent in Borey Peng Huoth: The Star Mera Garden",Villa,,2023,N
property_200,"5 Bed, 6 Bath Shophouse for Sale in Preaek Lieb",Shophouse,,2023,
property_201,"4 Bed, 5 Bath Shophouse for Sale in La Palm Residences",Shophouse,,2022,S
property_202,"7 Bed, 9 Bath Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Villa,,2022,S
property_203,"3 Bed, 4 Bath Link House for Sale in La Palm Residences",Unit,,2022,S
property_204,"4 Bed, 5 Bath Villa for Sale in Chankiri​​ Palm Creek",Villa,,2023,S
property_205,"4 Bed, 5 Bath Twin Villa for Sale in Chankiri​​ Palm Creek",Twin Villa,,2023,
property_206,Land for Sale in Kandaek,Land/Development,,2023,
property_207,"5 Bed, 6 Bath Twin Villa for Sale & Rent in Borey Peng Huoth: The Star Mera Garden",Twin Villa,,2023,S
property_208,Land for Sale in Tien,Land/Development,,2023,
property_209,"11 Bed, 11 Bath Villa for Sale & Rent in Tuek L'ak 3",Villa,,2023,
property_210,"6 Bed, 6 Bath Villa for Sale in Kakap",Villa,,2023,
property_211,Land for Sale in Kakap,Land/Development,,2023,
property_212,Land for Sale in Kakap,Land/Development,,2023,
property_213,Land for Sale in Tien,Land/Development,,2023,
property_214,Land for Sale in Chaom Chau,Land/Development,,2023,
property_215,Land for Sale in Tonle Bassac,Land/Development,,2023,
property_216,"3 Bed, 4 Bath House for Sale in Tumnob Tuek",House,,2023,S
property_217,Land for Sale in Boeung Tumpun,Land/Development,,2023,
property_218,"3 Bed, 2 Bath Condo for Sale in The Peak Residences",Condo,20.0,2023,
property_219,"6 Bed, 5 Bath House for Sale in BKK 3",House,,2023,
property_220,"4 Bed, 6 Bath Twin Villa for Sale in Phnom Penh Thmey",Twin Villa,,2023,N
property_221,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Eco Sunrise",Shophouse,,2023,W
property_222,"4 Bed, 6 Bath Link House for Sale & Rent in Chak Angrae Kraom",Unit,,2023,E
property_223,"4 Bed, 5 Bath Twin Villa for Sale in Borey The Flora",Twin Villa,,2021,E
property_224,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Lieb",Twin Villa,,2021,N
property_225,"5 Bed, 6 Bath Villa for Sale in BKK 3",Villa,,2021,N
property_226,"11 Bed, 15 Bath House for Sale in BKK 3",House,,2021,S
property_227,"5 Bed, 6 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Rosato",Villa,,2021,W
property_228,"1 Bed, 1 Bath Apartment for Sale in Sen Sok Town",Apartment,10.0,2021,
property_229,"4 Bed, 5 Bath Link House for Sale in Borey Peng Huoth: The Star Platinum Eco Romance",Unit,,2021,S
property_230,"5 Bed, 5 Bath Villa for Sale & Rent in Boeung Kak 1",Villa,,2021,
property_231,"4 Bed, 6 Bath Shophouse for Sale in One Park",Shophouse,6.0,2019,
property_232,"5 Bed, 4 Bath House for Sale & Rent in Phsar Daeum Kor",House,,2019,N
property_233,"6 Bed, 7 Bath Villa for Sale in Khmuonh",Villa,,2019,
property_234,"3 Bed, 2 Bath House for Sale in Phsar Daeum Kor",House,,2019,N
property_235,"4 Bed, 4 Bath House for Sale in Phsar Daeum Kor",House,,2019,S
property_236,"3 Bed, 4 Bath Penthouse for Sale in Grand Condo 7",Penthouse,21.0,2023,
property_237,"6 Bed, 6 Bath Villa for Sale in The Woods a Natha Residence",Villa,,2020,N
property_238,"10 Bed, 12 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Euro Ville",Twin Villa,,2020,S/W
property_239,"6 Bed, 6 Bath House for Sale in Sla Kram",House,,2020,
property_240,Land for Sale in Tuol Sangkae 1,Land/Development,,2020,
property_241,"11 Bed, 12 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Melody",Villa,,2020,E
property_242,"1 Bed, 1 Bath Condo for Sale & Rent in Tonle Bassac",Condo,18.0,2020,
property_243,Land for Sale in Toul Tum Poung 1,Land/Development,,2020,
property_244,"5 Bed, 5 Bath Link House for Sale & Rent in Kouk Roka",Unit,,2020,
property_245,"8 Bed, 12 Bath Link House for Sale in Nirouth",Unit,,2020,N
property_246,"4 Bed, 5 Bath Link House for Sale in Preaek Aeng",Unit,,2020,N
property_247,"2 Bed, 1 Bath Condo for Sale in Agile Sky Residence",Condo,22.0,2022,S
property_248,"4 Bed, 5 Bath Twin Villa for Sale & Rent in Borey Peng Huoth : The Star Diamond",Twin Villa,,2022,
property_249,"2 Bed, 2 Bath Condo for Sale in Orkide The Royal Condominium",Condo,3.0,2021,
property_250,"4 Bed, 5 Bath Villa for Sale in Snaor",Villa,,2021,
property_251,"4 Bed, 3 Bath Penthouse for Sale & Rent in Tonle Bassac",Penthouse,28.0,2021,
property_252,"3 Bed, 3 Bath Condo for Sale in Tonle Bassac",Condo,20.0,2021,
property_253,"3 Bed, 3 Bath Condo for Sale in Tonle Bassac",Condo,23.0,2021,
property_254,Land for Sale in Prey Sa,Land/Development,,2021,
property_255,"2 Bed, 1 Bath Condo for Sale in Borey Peng Huoth: The Star Platinum Polaris‚Äã I",Condo,15.0,2021,
property_256,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth : The Star Diamond",Twin Villa,,2021,
property_257,Land for Sale in Snaor,Land/Development,,2021,
property_258,Land for Sale in Snaor,Land/Development,,2021,
property_259,"5 Bed, 6 Bath Shophouse for Sale in Toul Svay Prey 1",Shophouse,,2021,E
property_260,"1 Bed, 1 Bath Condo for Sale in Agile Sky Residence",Condo,21.0,2022,E
property_261,"5 Bed, 6 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Melody",Twin Villa,,2022,E
property_262,Land for Sale in Snaor,Land/Development,,2022,
property_263,"4 Bed, 3 Bath Villa for Sale in Snaor",Villa,,2022,
property_264,Land for Sale in Chbar Ampov II,Land/Development,,2022,
property_265,"4 Bed, 3 Bath Villa for Sale in Snaor",Villa,,2022,
property_266,"4 Bed, 3 Bath Villa for Sale in Snaor",Villa,,2022,
property_267,"5 Bed, 7 Bath Villa for Sale in Tuol Sangke",Villa,,2022,
property_268,"1 Bed, 1 Bath Studio for Sale in Orkide The Royal Condominium",Studio,7.0,2021,
property_269,"2 Bed, 2 Bath Condo for Sale in Tuol Sangke",Condo,12.0,2021,
property_270,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris​ II",Shophouse,,2021,W
property_271,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,,2021,
property_272,"2 Bed, 2 Bath Condo for Sale in J Tower 2 Condominium",Condo,10.0,2022,N/E
property_273,"6 Bed, 8 Bath Shophouse for Sale in Tumnob Tuek",Shophouse,,2022,W
property_274,"3 Bed, 3 Bath Condo for Sale in J Tower 2 Condominium",Condo,39.0,2022,E/S
property_275,Land for Sale & Rent in Tuek L'ak 1,Land/Development,,2022,
property_276,Land for Sale & Rent in Tuek L'ak 1,Land/Development,,2022,
property_277,"4 Bed, 3 Bath House for Sale in Tumnob Tuek",House,,2022,E
property_278,"4 Bed, 4 Bath Shophouse for Sale in Phsar Kandal II",Shophouse,,2022,
property_279,"7 Bed, 7 Bath Twin Villa for Sale & Rent in Borey Peng Huoth: The Star Platinum Roseville",Twin Villa,,2022,N
property_280,"4 Bed, 5 Bath Link House for Sale in Preaek Aeng",Unit,,2022,S
property_281,"2 Bed, 1 Bath Condo for Sale in Arakawa Residence",Condo,6.0,2022,
property_282,"4 Bed, 5 Bath Shophouse for Sale & Rent in Nirouth",Shophouse,,2022,E
property_283,"1 Bed, 1 Bath Apartment for Sale in Phsar Kandal II",Apartment,3.0,2022,
property_284,"9 Bed, 9 Bath Twin Villa for Sale in Chak Angrae Kraom",Twin Villa,,2022,N
property_285,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris‚Äã I",Shophouse,,2022,N
property_286,"6 Bed, 6 Bath Shophouse for Sale in BKK 1",Shophouse,,2022,N
property_287,"4 Bed, 5 Bath Shophouse for Sale in Preaek Lieb",Shophouse,,2022,S
property_288,"4 Bed, 5 Bath Link House for Sale in Preaek Aeng",Unit,,2022,S
property_289,"4 Bed, 6 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Euro Ville",Twin Villa,,2022,N
property_290,"5 Bed, 6 Bath Villa for Sale in Chak Angrae Kraom",Villa,,2022,N
property_291,"4 Bed, 5 Bath Flat House for Sale in Chrang Chamres I",Retreat,,2022,
property_292,"5 Bed, 6 Bath Villa for Sale in Preaek Kampues",Villa,,2022,S
property_293,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth : The Star Diamond",Shophouse,,2022,E
property_294,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth : The Star Diamond",Shophouse,,2022,E
property_295,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,,2022,
property_296,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,,2022,
property_297,"3 Bed, 3 Bath House for Sale in Toul Svay Prey 1",House,,2022,S
property_298,"5 Bed, 3 Bath Shophouse for Sale in BKK 3",Shophouse,,2022,S
property_299,"4 Bed, 3 Bath House for Sale in BKK 3",House,,2022,N
property_300,Land for Sale in Kouk Khleang,Land/Development,,2022,
property_301,"5 Bed, 4 Bath Flat House for Sale in Toul Tum Poung 2",Retreat,,2022,
property_302,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,,2022,
property_303,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,,2022,
property_304,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,,2022,
property_305,"6 Bed, 6 Bath Flat House for Sale in Nirouth",Retreat,,2022,N
property_306,"6 Bed, 4 Bath Villa for Sale in Nirouth",Villa,,2022,S
property_307,"4 Bed, 5 Bath Flat House for Sale in Nirouth",Retreat,,2022,N
property_308,7 Bed Villa for Sale & Rent in Woodland Residences,Villa,3.0,2019,
property_309,"7 Bed, 9 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Delta",Villa,,2019,S
property_310,"2 Bed, 3 Bath Link House for Sale in Borey Peng Huoth : The Star Platinum Mercurean II",Unit,,2019,N
property_311,"5 Bed, 3 Bath House for Sale in Boeung Tumpun",House,,2019,
property_312,"2 Bed, 2 Bath Apartment for Sale in The Garden Residency",Apartment,3.0,2019,
property_313,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Rosato",Twin Villa,,2019,W
property_314,"4 Bed, 5 Bath Villa for Sale in Borey Peng Huoth: The Star Mera Garden",Villa,,2019,S
property_315,"8 Bed, 10 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris​ II",Shophouse,,2019,W
property_316,"2 Bed, 3 Bath House for Sale & Rent in Phsar Kandal I",House,,2019,
property_317,"2 Bed, 1 Bath Condo for Sale in Arakawa Residence",Condo,11.0,2022,
property_318,Villa for Sale in Svay Dankum,Villa,,2022,
property_319,"1 Bed, 1 Bath Apartment for Sale in Parc 21 Residence",Apartment,12.0,2022,
property_320,"3 Bed, 4 Bath Link House for Sale & Rent in Borey Peng Huoth: The Star Platinum Mercurean I",Unit,,2022,N
property_321,Land for Sale in Kakap,Land/Development,,2022,
property_322,"1 Bed, 1 Bath Condo for Sale & Rent in De Castle Royal Condominium",Condo,10.0,2014,
property_323,"2 Bed, 1 Bath Condo for Sale in Time Square 3",Condo,13.0,2023,
property_324,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris‚Äã I",Shophouse,,2023,E
property_325,"6 Bed, 8 Bath Flat House for Sale in Preaek Aeng",Retreat,,2023,W
property_326,"6 Bed, 6 Bath Villa for Sale & Rent in Borey Peng Huoth : The Star Platinum Paradigm",Villa,,2022,W
property_327,"6 Bed, 7 Bath Villa for Sale in The Woods a Natha Residence",Villa,,2020,N
property_328,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth : The Star Diamond",Shophouse,,2020,E
property_329,"1 Bed, 1 Bath Apartment for Sale in Bellavita Apartment",Apartment,7.0,2020,W
property_330,"8 Bed, 7 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Melody",Villa,,2020,E
property_331,"9 Bed, 7 Bath House for Sale & Rent in BKK 3",House,,2020,
property_332,"1 Bed, 1 Bath Condo for Sale in Chroy Changvar",Condo,15.0,2020,
property_333,"1 Bed, 1 Bath Condo for Sale in Boeung Kak 1",Condo,12.0,2020,
property_334,"1 Bed, 1 Bath Condo for Sale in Boeung Kak 1",Condo,15.0,2020,
property_335,"1 Bed, 1 Bath Condo for Sale in Tuol Sangkae 2",Condo,19.0,2020,
property_336,"7 Bed, 9 Bath Villa for Sale in Borey Peng Huoth : The Star Diamond",Villa,,2020,S
property_337,"5 Bed, 6 Bath Shophouse for Sale in Preaek Lieb",Shophouse,,2020,N
property_338,"3 Bed, 3 Bath Villa for Sale in Preaek Lieb",Villa,,2020,N
property_339,"4 Bed, 5 Bath House for Sale & Rent in Toul Tum Poung 1",House,,2020,
property_340,Land for Sale in Kakab 2,Land/Development,,2020,
property_341,"5 Bed, 6 Bath Villa for Sale in Preaek Lieb",Villa,2.0,2020,N/E
property_342,"4 Bed, 6 Bath Villa for Sale in Preaek Lieb",Villa,2.0,2020,E/S
property_343,"5 Bed, 6 Bath Shophouse for Sale & Rent in Preaek Lieb",Shophouse,3.0,2020,N
property_344,"5 Bed, 6 Bath Shophouse for Sale in Preaek Lieb",Shophouse,3.0,2020,S
property_345,House for Sale in Phnom Penh Thmey,House,,2020,
property_346,"12 Bed, 8 Bath Land for Sale in Boeung Trabek",Land/Development,2.0,2020,
property_347,"6 Bed, 7 Bath House for Sale & Rent in Toul Tum Poung 1",House,,2020,
property_348,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris​ II",Shophouse,3.0,2020,S
property_349,"3 Bed, 3 Bath Link House for Sale in Borey Nirouth Chey and Chenda Villa",Unit,,2021,S
property_350,"5 Bed, 6 Bath Villa for Sale & Rent in Borey Peng Huoth: The Star Platinum Rosato",Villa,,2021,S
property_351,"5 Bed, 5 Bath Villa for Sale in Boeung Tumpun",Villa,2.0,2021,
property_352,"3 Bed, 4 Bath Link House for Sale in Veal Sbov",Unit,,2021,S
property_353,Villa for Sale in Chreav,Villa,,2021,
property_354,House for Sale in Svay Dankum,House,,2021,
property_355,"1 Bed, 1 Bath Condo for Sale in Toul Kork Lane",Condo,13.0,2024,
property_356,"1 Bed, 1 Bath Condo for Sale in Toul Kork Lane",Condo,13.0,2024,
property_357,"1 Bed, 1 Bath Apartment for Sale in BKK 1",Apartment,14.0,2024,W/N
property_358,"4 Bed, 5 Bath Shophouse for Sale in Preaek Ta Sek",Shophouse,3.0,2024,W/N
property_359,"1 Bed, 1 Bath Studio for Sale in BKK 1",Studio,9.0,2024,W/N
property_360,"3 Bed, 3 Bath Condo for Sale in CASA by Meridian",Condo,30.0,2024,
property_361,"2 Bed, 2 Bath Condo for Sale & Rent in Sen Sok Town",Condo,11.0,2024,E/S
property_362,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Eco Sunrise",Shophouse,3.0,2024,W
property_363,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris​ II",Shophouse,3.0,2024,S
property_364,"5 Bed, 6 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Delta",Villa,3.0,2024,S
property_365,"4 Bed, 5 Bath Villa for Sale in BKK 1",Villa,2.0,2024,S
property_366,"10 Bed, 8 Bath House for Sale in Boeung Tumpun",House,,2024,
property_367,"2 Bed, 1 Bath Apartment for Sale in Boeung Tumpun",Apartment,18.0,2024,
property_368,"4 Bed, 4 Bath Villa for Sale in Snaor",Villa,,2024,
property_369,"1 Bed, 1 Bath Studio for Sale in Orkide The Royal Condominium",Studio,5.0,2021,
property_370,"4 Bed, 5 Bath Shophouse for Sale in Preaek Ta Sek",Shophouse,,2021,E
property_371,"3 Bed, 3 Bath Link House for Sale in Preaek Lieb",Unit,,2021,S/W
property_372,"4 Bed, 5 Bath Twin Villa for Sale & Rent in Preaek Lieb",Twin Villa,,2021,S
property_373,Land for Sale in Kouk Khleang,Land/Development,,2021,
property_374,"5 Bed, 7 Bath Villa for Sale in The Palms",Villa,3.0,2023,S
property_375,"1 Bed, 1 Bath Condo for Sale in Sky Tree Residence",Condo,19.0,2020,
property_376,"4 Bed, 5 Bath Shophouse for Sale & Rent in Borey Peng Huoth: The Star Platinum Eco Sunrise",Shophouse,3.0,2020,W
property_377,"2 Bed, 1 Bath Condo for Sale in BKK 3",Condo,21.0,2020,S
property_378,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Lieb",Twin Villa,,2020,S
property_379,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Polaris​ II",Shophouse,,2020,N
property_380,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Ta Sek",Twin Villa,3.0,2020,
property_381,"3 Bed, 2 Bath Condo for Sale & Rent in The Bridge",Condo,43.0,2018,S
property_382,5 Bed Shophouse for Sale in Preaek Ta Sek,Shophouse,,2018,
property_383,5 Bed Shophouse for Sale in Nirouth,Shophouse,,2018,S
property_384,"2 Bed, 2 Bath Condo for Sale & Rent in Chroy Changvar",Condo,24.0,2018,
property_385,"4 Bed, 5 Bath Shophouse for Sale & Rent in Tuol Sangkae 2",Shophouse,3.0,2018,
property_386,"2 Bed, 1 Bath Condo for Sale in Time Square 3",Condo,13.0,2023,
property_387,Link House for Sale in Ponhea Pon,Unit,2.0,2023,
property_388,"5 Bed, 3 Bath House for Sale in Boeung Tumpun",House,,2023,
property_389,Land for Sale in Krang Thnong,Land/Development,,2023,
property_390,"1 Bed, 1 Bath Condo for Sale in Tonle Bassac",Condo,22.0,2023,
property_391,"4 Bed, 5 Bath Twin Villa for Sale in Cheung Aek",Twin Villa,,2023,S
property_392,"4 Bed, 5 Bath Link House for Sale in Phnom Penh Thmey",Unit,,2023,
property_393,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Delta",Twin Villa,,2023,N/E
property_394,"4 Bed, 5 Bath Villa for Sale in Bak Kaeng",Villa,,2023,E/S
property_395,"5 Bed, 6 Bath Twin Villa for Sale in Chak Angrae Leu",Twin Villa,,2023,N
property_396,"5 Bed, 6 Bath Twin Villa for Sale in Chak Angrae Leu",Twin Villa,,2023,N
property_397,"2 Bed, 2 Bath Condo for Sale in BKK 3",Condo,6.0,2023,
property_398,"4 Bed, 5 Bath Link House for Sale in Nirouth",Unit,,2023,N
property_399,"4 Bed, 2 Bath House for Sale in Toul Tum Poung 1",House,,2023,
property_400,"3 Bed, 2 Bath Condo for Sale in The Bridge",Condo,,2018,S
property_401,"4 Bed, 5 Bath Shophouse for Sale in Nirouth",Shophouse,3.0,2018,E
property_402,"2 Bed, 3 Bath Shophouse for Sale & Rent in Borey Peng Huoth: The Star Platinum Polaris​ II",Shophouse,3.0,2018,S
property_403,"1 Bed, 1 Bath Apartment for Sale in Embassy Residences - Phnom Penh's Landmark Condominium",Apartment,12.0,2018,S
property_404,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,11.0,2018,
property_405,"9 Bed, 11 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Melody",Villa,3.0,2018,S
property_406,"4 Bed, 5 Bath Link House for Sale & Rent in Tonle Bassac",Unit,,2018,
property_407,Land for Sale in Kouk Khleang,Land/Development,,2018,
property_408,"1 Bed, 1 Bath Condo for Sale in Olympic",Condo,13.0,2018,
property_409,"3 Bed, 3 Bath Villa for Sale in Snaor",Villa,,2018,
property_410,"1 Bed, 1 Bath Studio for Sale & Rent in BKK 1",Studio,8.0,2018,
property_411,"2 Bed, 2 Bath Condo for Sale in Tonle Bassac",Condo,10.0,2018,
property_412,"2 Bed, 2 Bath Condo for Sale in Tonle Bassac",Condo,11.0,2018,
property_413,"1 Bed, 1 Bath Studio for Sale in The Penthouse Residence",Studio,15.0,2020,
property_414,"2 Bed, 3 Bath Flat House for Sale in Chaom Chau 1",Retreat,,2020,
property_415,"4 Bed, 5 Bath Link House for Sale in Borey Peng Huoth: The Star Platinum Athina",Unit,,2020,N
property_416,"2 Bed, 3 Bath Flat House for Sale in Kamboul",Retreat,2.0,2020,
property_417,"4 Bed, 5 Bath Villa for Sale & Rent in Phsar Daeum Thkov",Villa,,2020,
property_418,"4 Bed, 5 Bath Twin Villa for Sale in Chroy Changvar",Twin Villa,,2020,N
property_419,compounds for Sale in Ta Meun,compounds,,2020,
property_420,1 Bath Studio for Sale in Wat Phnom,Studio,21.0,2020,
property_421,"3 Bed, 3 Bath Villa for Sale in Snaor",Villa,,2020,
property_422,"1 Bed, 1 Bath Condo for Sale in Srah Chak",Condo,8.0,2020,
property_423,"10 Bed, 12 Bath House for Sale in Boeung Tumpun",House,,2020,
property_424,"1 Bed, 1 Bath Condo for Sale in Tonle Bassac",Condo,9.0,2020,S
property_425,"4 Bed, 5 Bath Twin Villa for Sale & Rent in Preaek Lieb",Twin Villa,,2020,S
property_426,"6 Bed, 8 Bath Villa for Sale in Tonle Bassac",Villa,3.0,2020,
property_427,"1 Bed, 1 Bath Condo for Sale in Tonle Bassac",Condo,23.0,2020,
property_428,1 Bath Studio for Sale in Tonle Bassac,Studio,19.0,2020,
property_429,Land for Sale in Boeung Tumpun,Land/Development,,2020,
property_430,"1 Bed, 1 Bath Condo for Sale in Tonle Bassac",Condo,21.0,2020,
property_431,Land for Sale & Rent in Ream,Land/Development,,2020,
