property_id,property_name,property_types,floor_level,completion_year,facing
property_884,"8 Bed, 3 Bath Villa for Sale & Rent in Chak Angrae Leu",Villa,,2020,
property_885,"1 Bed, 1 Bath Condo for Sale & Rent in Boeung Tumpun",Condo,11.0,2020,
property_886,Land for Sale in Akreiy Ksatr,Land/Development,,2020,
property_887,"2 Bed, 2 Bath Condo for Sale & Rent in Tuol Sangkae 2",Condo,5.0,2020,E/S
property_888,"6 Bed, 5 Bath Villa for Sale in BKK 3",Villa,2.0,2020,N
property_889,"4 Bed, 5 Bath Twin Villa for Sale in Veal Sbov",Twin Villa,,2020,S
property_890,"3 Bed, 3 Bath House for Sale in BKK 3",House,,2020,
property_891,"1 Bed, 1 Bath Condo for Sale & Rent in Tonle Bassac",Condo,15.0,2020,
property_892,"3 Bed, 3 Bath Condo for Sale in Tonle Bassac",Condo,11.0,2020,
property_893,"2 Bed, 3 Bath Twin Villa for Sale in Setbou",Twin Villa,,2020,N
property_894,"3 Bed, 3 Bath Villa for Sale in Siem Reap",Villa,,2020,
property_895,"4 Bed, 5 Bath Villa for Sale in Spean Thma",Villa,,2020,W
property_896,"1 Bed, 1 Bath Condo for Sale & Rent in Tonle Bassac",Condo,7.0,2020,
property_897,"2 Bed, 2 Bath House for Sale in Tumnob Tuek",House,,2020,W
property_898,"2 Bed, 3 Bath House for Sale in Tonle Bassac",House,,2020,W
property_899,"5 Bed, 3 Bath Flat for Sale & Rent in Toul Tum Poung 1",Flat,,2020,
property_900,"5 Bed, 6 Bath Villa for Sale in Veal Sbov",Villa,,2020,S
property_901,"7 Bed, 9 Bath Villa for Sale in Nirouth",Villa,,2020,N/E
property_902,"5 Bed, 6 Bath Twin Villa for Sale & Rent in Veal Sbov",Twin Villa,,2020,S/W
property_903,"5 Bed, 6 Bath Twin Villa for Sale in Veal Sbov",Twin Villa,,2020,N/E
property_904,"7 Bed, 8 Bath Villa for Sale in Chrang Chamres 2",Villa,,2020,N/E
property_905,"4 Bed, 3 Bath Shophouse for Sale in Chey Chumneah",Shophouse,,2020,E
property_906,"4 Bed, 5 Bath Villa for Sale in Chrang Chamres 2",Villa,,2020,W/N
property_907,"4 Bed, 5 Bath Shophouse for Sale in Nirouth",Shophouse,,2020,W
property_908,"2 Bed, 3 Bath Villa for Sale in Nirouth",Villa,,2020,N
property_909,"4 Bed, 5 Bath Shophouse for Sale in Borey Peng Huoth: The Star Platinum Rosato",Shophouse,,2020,E
property_910,Land for Sale in Phnom Penh Thmey,Land/Development,,2020,
property_911,"4 Bed, 3 Bath Shophouse for Sale in Chey Chumneah",Shophouse,,2020,E
property_912,"2 Bed, 2 Bath Condo for Sale in Boeung Prolit",Condo,15.0,2020,
property_913,"4 Bed, 3 Bath House for Sale in BKK 2",House,,2020,S
property_914,"2 Bed, 2 Bath Condo for Sale in BKK 1",Condo,10.0,2020,N
property_915,Land for Sale & Rent in Tonle Bassac,Land/Development,,2020,
