amenity_id,property_id,amenity_name
amenity_5,property_1106,Swimming Pool
amenity_10,property_1106,Backup Electricity / Generator
No_amenities,property_1107,No amenities
No_amenities,property_1108,No amenities
amenity_1,property_1109,Car Parking
amenity_7,property_1109,Garden
amenity_8,property_1109,Gym/Fitness Center
amenity_5,property_1109,Swimming Pool
amenity_10,property_1109,Backup Electricity / Generator
No_amenities,property_1110,No amenities
No_amenities,property_1111,No amenities
No_amenities,property_1112,No amenities
amenity_1,property_1113,Car Parking
amenity_2,property_1113,Commercial area
amenity_6,property_1113,Common Area
amenity_8,property_1113,Gym/Fitness Center
amenity_3,property_1113,Lift / Elevator
amenity_9,property_1113,Non-Flooding
amenity_12,property_1113,Sports Facilities
amenity_5,property_1113,Swimming Pool
amenity_10,property_1113,Backup Electricity / Generator
No_amenities,property_1114,No amenities
No_amenities,property_1115,No amenities
amenity_1,property_1116,Car Parking
amenity_9,property_1116,Non-Flooding
No_amenities,property_1117,No amenities
No_amenities,property_1118,No amenities
amenity_1,property_1119,Car Parking
amenity_2,property_1119,Commercial area
amenity_8,property_1119,Gym/Fitness Center
amenity_3,property_1119,Lift / Elevator
amenity_5,property_1119,Swimming Pool
amenity_10,property_1119,Backup Electricity / Generator
amenity_1,property_1120,Car Parking
amenity_2,property_1120,Commercial area
amenity_9,property_1120,Non-Flooding
amenity_1,property_1121,Car Parking
amenity_2,property_1121,Commercial area
amenity_8,property_1121,Gym/Fitness Center
amenity_3,property_1121,Lift / Elevator
amenity_9,property_1121,Non-Flooding
amenity_14,property_1121,Sauna
amenity_5,property_1121,Swimming Pool
amenity_1,property_1122,Car Parking
amenity_2,property_1122,Commercial area
amenity_3,property_1122,Lift / Elevator
amenity_9,property_1122,Non-Flooding
amenity_1,property_1123,Car Parking
amenity_2,property_1123,Commercial area
amenity_6,property_1123,Common Area
amenity_8,property_1123,Gym/Fitness Center
amenity_13,property_1123,Jacuzzi
amenity_3,property_1123,Lift / Elevator
amenity_9,property_1123,Non-Flooding
amenity_4,property_1123,On main road
amenity_11,property_1123,Playground
amenity_14,property_1123,Sauna
amenity_12,property_1123,Sports Facilities
amenity_5,property_1123,Swimming Pool
amenity_10,property_1123,Backup Electricity / Generator
amenity_1,property_1124,Car Parking
amenity_2,property_1124,Commercial area
amenity_9,property_1124,Non-Flooding
amenity_2,property_1125,Commercial area
amenity_9,property_1125,Non-Flooding
No_amenities,property_1126,No amenities
amenity_1,property_1127,Car Parking
amenity_2,property_1127,Commercial area
amenity_8,property_1127,Gym/Fitness Center
amenity_3,property_1127,Lift / Elevator
amenity_9,property_1127,Non-Flooding
amenity_14,property_1127,Sauna
amenity_5,property_1127,Swimming Pool
amenity_10,property_1127,Backup Electricity / Generator
amenity_1,property_1128,Car Parking
amenity_2,property_1128,Commercial area
amenity_8,property_1128,Gym/Fitness Center
amenity_3,property_1128,Lift / Elevator
amenity_9,property_1128,Non-Flooding
amenity_14,property_1128,Sauna
amenity_5,property_1128,Swimming Pool
amenity_10,property_1128,Backup Electricity / Generator
amenity_1,property_1129,Car Parking
amenity_2,property_1129,Commercial area
amenity_8,property_1129,Gym/Fitness Center
amenity_3,property_1129,Lift / Elevator
amenity_9,property_1129,Non-Flooding
amenity_14,property_1129,Sauna
amenity_5,property_1129,Swimming Pool
amenity_10,property_1129,Backup Electricity / Generator
amenity_1,property_1130,Car Parking
amenity_2,property_1130,Commercial area
amenity_8,property_1130,Gym/Fitness Center
amenity_3,property_1130,Lift / Elevator
amenity_5,property_1130,Swimming Pool
amenity_10,property_1130,Backup Electricity / Generator
No_amenities,property_1131,No amenities
No_amenities,property_1132,No amenities
No_amenities,property_1133,No amenities
No_amenities,property_1134,No amenities
No_amenities,property_1135,No amenities
amenity_1,property_1136,Car Parking
amenity_2,property_1136,Commercial area
amenity_9,property_1136,Non-Flooding
amenity_1,property_1137,Car Parking
amenity_2,property_1137,Commercial area
amenity_9,property_1137,Non-Flooding
amenity_1,property_1138,Car Parking
amenity_2,property_1138,Commercial area
amenity_9,property_1138,Non-Flooding
amenity_1,property_1139,Car Parking
amenity_2,property_1139,Commercial area
amenity_9,property_1139,Non-Flooding
amenity_1,property_1140,Car Parking
amenity_2,property_1140,Commercial area
amenity_8,property_1140,Gym/Fitness Center
amenity_3,property_1140,Lift / Elevator
amenity_9,property_1140,Non-Flooding
amenity_5,property_1140,Swimming Pool
amenity_2,property_1141,Commercial area
amenity_9,property_1141,Non-Flooding
amenity_1,property_1142,Car Parking
amenity_2,property_1142,Commercial area
amenity_9,property_1142,Non-Flooding
amenity_2,property_1143,Commercial area
amenity_8,property_1143,Gym/Fitness Center
amenity_3,property_1143,Lift / Elevator
amenity_9,property_1143,Non-Flooding
amenity_5,property_1143,Swimming Pool
amenity_1,property_1144,Car Parking
amenity_2,property_1144,Commercial area
amenity_9,property_1144,Non-Flooding
amenity_1,property_1145,Car Parking
amenity_2,property_1145,Commercial area
amenity_9,property_1145,Non-Flooding
amenity_1,property_1146,Car Parking
amenity_2,property_1146,Commercial area
amenity_9,property_1146,Non-Flooding
amenity_1,property_1147,Car Parking
amenity_2,property_1147,Commercial area
amenity_6,property_1147,Common Area
amenity_7,property_1147,Garden
amenity_9,property_1147,Non-Flooding
amenity_5,property_1147,Swimming Pool
amenity_1,property_1148,Car Parking
amenity_2,property_1148,Commercial area
amenity_8,property_1148,Gym/Fitness Center
amenity_3,property_1148,Lift / Elevator
amenity_9,property_1148,Non-Flooding
amenity_5,property_1148,Swimming Pool
amenity_1,property_1149,Car Parking
amenity_2,property_1149,Commercial area
amenity_7,property_1149,Garden
amenity_8,property_1149,Gym/Fitness Center
amenity_3,property_1149,Lift / Elevator
amenity_9,property_1149,Non-Flooding
amenity_5,property_1149,Swimming Pool
No_amenities,property_1150,No amenities
amenity_1,property_1151,Car Parking
amenity_6,property_1151,Common Area
amenity_7,property_1151,Garden
amenity_8,property_1151,Gym/Fitness Center
amenity_3,property_1151,Lift / Elevator
amenity_9,property_1151,Non-Flooding
amenity_5,property_1151,Swimming Pool
amenity_1,property_1152,Car Parking
amenity_2,property_1152,Commercial area
amenity_9,property_1152,Non-Flooding
amenity_1,property_1153,Car Parking
amenity_2,property_1153,Commercial area
amenity_8,property_1153,Gym/Fitness Center
amenity_3,property_1153,Lift / Elevator
amenity_9,property_1153,Non-Flooding
amenity_5,property_1153,Swimming Pool
amenity_10,property_1153,Backup Electricity / Generator
amenity_1,property_1154,Car Parking
amenity_2,property_1154,Commercial area
amenity_9,property_1154,Non-Flooding
No_amenities,property_1155,No amenities
amenity_1,property_1156,Car Parking
amenity_2,property_1156,Commercial area
amenity_7,property_1156,Garden
amenity_9,property_1156,Non-Flooding
amenity_5,property_1156,Swimming Pool
amenity_1,property_1157,Car Parking
amenity_2,property_1157,Commercial area
amenity_8,property_1157,Gym/Fitness Center
amenity_3,property_1157,Lift / Elevator
amenity_9,property_1157,Non-Flooding
amenity_4,property_1157,On main road
amenity_5,property_1157,Swimming Pool
amenity_10,property_1157,Backup Electricity / Generator
No_amenities,property_1158,No amenities
No_amenities,property_1159,No amenities
No_amenities,property_1160,No amenities
No_amenities,property_1161,No amenities
amenity_1,property_1162,Car Parking
amenity_2,property_1162,Commercial area
amenity_9,property_1162,Non-Flooding
amenity_2,property_1163,Commercial area
amenity_3,property_1163,Lift / Elevator
amenity_9,property_1163,Non-Flooding
amenity_1,property_1164,Car Parking
amenity_8,property_1164,Gym/Fitness Center
amenity_3,property_1164,Lift / Elevator
amenity_4,property_1164,On main road
amenity_5,property_1164,Swimming Pool
amenity_1,property_1165,Car Parking
amenity_2,property_1165,Commercial area
amenity_8,property_1165,Gym/Fitness Center
amenity_3,property_1165,Lift / Elevator
amenity_9,property_1165,Non-Flooding
amenity_5,property_1165,Swimming Pool
amenity_1,property_1166,Car Parking
amenity_2,property_1166,Commercial area
amenity_8,property_1166,Gym/Fitness Center
amenity_3,property_1166,Lift / Elevator
amenity_9,property_1166,Non-Flooding
amenity_14,property_1166,Sauna
amenity_5,property_1166,Swimming Pool
amenity_10,property_1166,Backup Electricity / Generator
No_amenities,property_1167,No amenities
amenity_1,property_1168,Car Parking
amenity_2,property_1168,Commercial area
amenity_9,property_1168,Non-Flooding
amenity_1,property_1169,Car Parking
amenity_2,property_1169,Commercial area
amenity_8,property_1169,Gym/Fitness Center
amenity_3,property_1169,Lift / Elevator
amenity_9,property_1169,Non-Flooding
amenity_5,property_1169,Swimming Pool
amenity_10,property_1169,Backup Electricity / Generator
amenity_1,property_1170,Car Parking
amenity_2,property_1170,Commercial area
amenity_9,property_1170,Non-Flooding
amenity_2,property_1171,Commercial area
amenity_6,property_1171,Common Area
amenity_7,property_1171,Garden
amenity_8,property_1171,Gym/Fitness Center
amenity_9,property_1171,Non-Flooding
amenity_1,property_1172,Car Parking
amenity_2,property_1172,Commercial area
amenity_7,property_1172,Garden
amenity_9,property_1172,Non-Flooding
amenity_1,property_1173,Car Parking
amenity_2,property_1173,Commercial area
amenity_7,property_1173,Garden
amenity_9,property_1173,Non-Flooding
amenity_1,property_1174,Car Parking
amenity_2,property_1174,Commercial area
amenity_9,property_1174,Non-Flooding
amenity_1,property_1175,Car Parking
amenity_2,property_1175,Commercial area
amenity_9,property_1175,Non-Flooding
amenity_1,property_1176,Car Parking
amenity_2,property_1176,Commercial area
amenity_9,property_1176,Non-Flooding
amenity_1,property_1177,Car Parking
amenity_2,property_1177,Commercial area
amenity_9,property_1177,Non-Flooding
amenity_1,property_1178,Car Parking
amenity_2,property_1178,Commercial area
amenity_9,property_1178,Non-Flooding
No_amenities,property_1179,No amenities
amenity_1,property_1180,Car Parking
amenity_2,property_1180,Commercial area
amenity_9,property_1180,Non-Flooding
No_amenities,property_1181,No amenities
amenity_1,property_1182,Car Parking
amenity_2,property_1182,Commercial area
amenity_9,property_1182,Non-Flooding
amenity_1,property_1183,Car Parking
amenity_2,property_1183,Commercial area
amenity_9,property_1183,Non-Flooding
amenity_5,property_1183,Swimming Pool
No_amenities,property_1184,No amenities
No_amenities,property_1185,No amenities
No_amenities,property_1186,No amenities
No_amenities,property_1187,No amenities
No_amenities,property_1188,No amenities
amenity_2,property_1189,Commercial area
amenity_9,property_1189,Non-Flooding
No_amenities,property_1190,No amenities
amenity_1,property_1191,Car Parking
amenity_2,property_1191,Commercial area
amenity_7,property_1191,Garden
amenity_8,property_1191,Gym/Fitness Center
amenity_3,property_1191,Lift / Elevator
amenity_9,property_1191,Non-Flooding
amenity_5,property_1191,Swimming Pool
amenity_10,property_1191,Backup Electricity / Generator
amenity_2,property_1192,Commercial area
amenity_9,property_1192,Non-Flooding
amenity_1,property_1193,Car Parking
amenity_2,property_1193,Commercial area
amenity_9,property_1193,Non-Flooding
amenity_2,property_1194,Commercial area
amenity_9,property_1194,Non-Flooding
amenity_1,property_1195,Car Parking
amenity_2,property_1195,Commercial area
amenity_9,property_1195,Non-Flooding
amenity_1,property_1196,Car Parking
amenity_2,property_1196,Commercial area
amenity_9,property_1196,Non-Flooding
amenity_1,property_1197,Car Parking
amenity_2,property_1197,Commercial area
amenity_9,property_1197,Non-Flooding
amenity_1,property_1198,Car Parking
amenity_2,property_1198,Commercial area
amenity_9,property_1198,Non-Flooding
amenity_2,property_1199,Commercial area
