property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
245477,"2 Bed, 2 Bath Condo for Sale in J Tower 2 Condominium",Condo,2/9/2024,20/09/2024,2,2,N/A,91,10,2022,N/E,"$220,000 ","BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Playground, Swimming Pool, Backup Electricity / Generator"
245476,"6 Bed, 8 Bath Shophouse for Sale in Tumnob Tuek",Shophouse,2/9/2024,20/09/2024,6,8,80,216,N/A,2022,W,"$790,000 ","Tumnob Tuek, Chamkarmon, Phnom Penh",Tumnob Tuek,Chamkarmon,Phnom Penh,"Car Parking, Commercial area"
245475,"3 Bed, 3 Bath Condo for Sale in J Tower 2 Condominium",Condo,2/9/2024,20/09/2024,3,3,N/A,153,39,2022,E/S,"$520,000 ","BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Playground, Swimming Pool, Backup Electricity / Generator"
245472,Land for Sale & Rent in Tuek L'ak 1,Land/Development,2/9/2024,20/09/2024,N/A,N/A,1200,N/A,N/A,2022,N/A,"$4,400,000 ","Tuek L'ak 1, Toul Kork, Phnom Penh",Tuek L'ak 1,Toul Kork,Phnom Penh,
245471,Land for Sale & Rent in Tuek L'ak 1,Land/Development,2/9/2024,20/09/2024,N/A,N/A,601,144,N/A,2022,N/A,"$2,200,000 ","Tuek L'ak 1, Toul Kork, Phnom Penh",Tuek L'ak 1,Toul Kork,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245433,"4 Bed, 3 Bath House for Sale in Tumnob Tuek",House,30/08/2024,16/09/2024,4,3,84,188,N/A,2022,E,"$270,000 ","Tumnob Tuek, Chamkarmon, Phnom Penh",Tumnob Tuek,Chamkarmon,Phnom Penh,"Commercial area, Non-Flooding"
245421,"4 Bed, 4 Bath Shophouse for Sale in Phsar Kandal II",Shophouse,29/08/2024,17/09/2024,4,4,90,270,N/A,2022,N/A,"$560,000 ","Phsar Kandal II, Daun Penh, Phnom Penh",Phsar Kandal II,Daun Penh,Phnom Penh,"Commercial area, Non-Flooding"
245413,"7 Bed, 7 Bath Twin Villa for Sale & Rent in Borey Peng Huoth: The Star Platinum Roseville",Twin Villa,29/08/2024,26/09/2024,7,7,202,270,N/A,2022,N,"$450,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245412,"4 Bed, 5 Bath Link House for Sale in Preaek Aeng",Unit,29/08/2024,12/9/2024,4,5,86,151,N/A,2022,S,"$98,000 ","Preaek Aeng, Chbar Ampov, Phnom Penh",Preaek Aeng,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245382,"2 Bed, 1 Bath Condo for Sale in Arakawa Residence",Condo,28/08/2024,18/09/2024,2,1,N/A,47,6,2022,N/A,"$48,000 ","Tuek Thla, Sen Sok, Phnom Penh",Tuek Thla,Sen Sok,Phnom Penh,"Car Parking, Commercial area, Lift / Elevator, Non-Flooding"
245374,"4 Bed, 5 Bath Shophouse for Sale & Rent in Nirouth",Shophouse,28/08/2024,12/9/2024,4,5,96,189,N/A,2022,E,"$380,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245364,"1 Bed, 1 Bath Apartment for Sale in Phsar Kandal II",Apartment,28/08/2024,28/08/2024,1,1,N/A,80,3,2022,N/A,"$50,000 ","Phsar Kandal II, Daun Penh, Phnom Penh",Phsar Kandal II,Daun Penh,Phnom Penh,Commercial area
245338,"9 Bed, 9 Bath Twin Villa for Sale in Chak Angrae Kraom",Twin Villa,27/08/2024,12/9/2024,9,9,379,546,N/A,2022,N,"$950,000 ","Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Garden, Non-Flooding"
